id,name,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,instant_bookable,number_of_reviews,shared_bathroom,ln_price,ln_num_reviews,Smoke alarm,Microwave,Cooking basics,Refrigerator,Dedicated workspace,Patio or balcony,Essentials,Coffee maker,Shampoo,Stove,Washer,Bed linens,Host greets you,Dishes and silverware,Wifi,Heating,Oven,Hot water,Iron,Hangers,Hair dryer,Kitchen,Carbon monoxide alarm,Luggage dropoff allowed,Air conditioning,Dryer,Extra pillows and blankets,Bathtub,TV,First aid kit,Elevator,Lockbox,Long term stays allowed,Dishwasher,Fire extinguisher,High chair,Waterfront,Lock on bedroom door,Indoor fireplace,Ethernet connection,Single level home,Crib,Smart lock,Pocket wifi,Keypad,Baby bath,Private entrance,Baking sheet,Babysitter recommendations,Cleaning before checkout,Hot tub,Outlet covers,Bathroom essentials,Bedroom comforts,Portable fans,Central heating,Body soap,Conditioner,Changing table,Breakfast,Garden or backyard,Gym,BBQ grill,Building staff,Freezer,EV charger,Laundromat nearby,Ceiling fan,Window guards,Record player,Sound system,Barbecue utensils,Nespresso machine,Beach essentials,Lake access,Full kitchen,Beachfront,Baby monitor,Piano,Mini fridge,Game console,Private living room,Table corner guards,Fireplace guards,Gas stove,Pool,Baby safety gates,Hot water kettle,Rice maker,Bread maker,Pets allowed,Kitchenette,Pool cover,Pool toys,Drying rack for clothing,Wine glasses,Cleaning products,Dining table,Trash compactor,Keurig coffee machine,Radiant heating,Toaster,Clothing storage,Outdoor dining area,Body Soap,Netflix,Amazon Prime Video,Free parking,Paid parking
38768,central cityapartement- wifi- nice neighbourhood,Leopoldstadt,Entire apartment,5,1,1,3,48,FALSE,324,0,3.871201010907891,5.780774379513571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40625,"Near Palace Schönbrunn, Apt. 1",Rudolfsheim-Fnfhaus,Entire apartment,6,1,2,4,165,TRUE,155,0,5.10594547390058,5.043489630967203,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
51287,little studio- next to citycenter- wifi- nice area,Leopoldstadt,Entire apartment,3,1,NA,2,61,FALSE,309,0,4.110873864173311,5.73337363883364,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70568,apartment2rent - UNO City - Danube,Donaustadt,Entire apartment,2,1,1,1,59,FALSE,10,0,4.07753744390572,2.303584593327129,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70637,Flat in the Center with Terrace,Leopoldstadt,Private room,2,2,1,2,50,FALSE,116,1,3.912023005428146,4.753676394287315,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75471,nice big apartment with balcony,Ottakring,Entire apartment,4,1,2,2,77,TRUE,50,0,4.343805421853684,3.9122229854308124,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75500,Lovely Viennese apartment (2-4 p.),Brigittenau,Entire apartment,4,1,2,2,65,FALSE,14,0,4.174387269895637,2.6397713603489157,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90247,Beautiful New Central Apartment,Neubau,Entire apartment,4,1,1,2,80,TRUE,631,0,4.382026634673881,6.447321710276176,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98210,CIty Center Room with Private Shower,Margareten,Private room,2,0.5,1,1,35,TRUE,92,0,3.5553480614894135,4.52189726679427,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107439,"In the Center, 2 minutes to the State Opera!",Margareten,Entire apartment,4,1,1,2,42,FALSE,128,0,3.7376696182833684,4.852108385868018,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
